iter	Passed	Remaining
0	1	107
1	1	86
2	2	76
3	2	69
4	3	67
5	4	65
6	4	64
7	5	64
8	6	64
9	7	63
10	7	62
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	55
22	16	54
23	16	53
24	17	53
25	18	52
26	19	51
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	47
34	25	46
35	25	46
36	26	45
37	27	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
